glib2-docs 2.86.1-1
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glow 2.1.1-1
glslang 1:1.4.328.1-1
glu 9.0.3-2
glycin 2.0.5-1
gmic 3.6.3-1
gmp 6.3.0-2
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 49.0-1
gnome-bluetooth-3.0 47.1-2
gnome-calculator 49.1.1-1
gnome-calendar 49.0.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.1-1
gnome-contacts 49.0-1
gnome-control-center 49.1-1
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-disk-utility 46.1-2
gnome-font-viewer 49.0-1
gnome-keybindings 49.1-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.2-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-1
gnome-online-accounts 3.56.1-1
gnome-remote-desktop 49.1-1
gnome-session 49.1-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.1-2
gnome-shell-extensions 49.0-1
gnome-software 49.1-1
gnome-system-monitor 49.1-1
gnome-text-editor 49.0-1
gnome-tour 49.0-1
gnome-user-docs 49.1-1
gnome-user-share 48.1-1
gnome-weather 49.0-1
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.10-1
go 2:1.25.4-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
gom 0.5.5-1
google-chrome 138.0.7204.92-1
google-glog 0.7.1-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
granite 1:6.2.0-1
granite7 7.6.0-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
graphviz 14.0.2-1
grep 3.12-2
